"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.30000019073486","","","7.94999980926514","","","8.36999988555908","","","7.44000005722046","7.40000009536743","","","","","","6.53000020980835","","","10.4300003051758","7.80000019073486","","","","","","","","",
"Afghanistan","AFG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.18709993362427","","","","3.33260011672974","","","","","14.0269002914429","","",
"Angola","AGO","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","24.7000007629395","28.5","35.0999984741211","","","","","","","","","","","","","","","","","","26.132999420166","","","","","2.82069993019104","10.8699998855591","7.71250009536743","","","","","","","","",
"Albania","ALB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8999996185303","10.5","28.2999992370605","24.2000007629395","19.8999996185303","14.8000001907349","13.6000003814697","16.6000003814697","20.8999996185303","21.3999996185303","19.2999992370605","19.8999996185303","19.1000003814697","18.2000007629395","17.5","17.2000007629395","16.7999992370605","16.430700302124","13.7218999862671","15.643500328064","15.8437995910645","13.7531003952026","11.4893999099731","13.4357995986938","15.5204000473022","17.1210994720459","14.4708995819092","12.503999710083","11.8832998275757","11.3161001205444",
"Andorra","AND","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3729555618283","17.5165972009928","19.2279343162868","19.2571197098464","","19.1583577800276","","19.1988600447056","","18.8273330531886","","","",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","4.51000022888184","","","","","","","","","","2.04999995231628","","","","","","","","","","2.34999990463257","","","","","2.71000003814697","","","","","7.05999994277954","","","","","","","","","","","4.02044868469238","6.80719995498657","5.93039989471436","",
"Argentina","ARG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","5.40000009536743","4.80000019073486","4.19000005722046","","","6.59999990463257","7.19999980926514","7.80000019073486","6.92999982833862","5.84999990463257","6.73000001907349","12.6999998092651","14.0600004196167","22.2999992370605","19.3099994659424","17.7999992370605","14.1099996566772","15.1800003051758","16.3799991607666","17.1900005340576","18.8299999237061","17.4799995422363","15.7447004318237","13.5213003158569","12.3408002853394","","9.680100440979","9.83129978179932","9.16889953613281","8.48509979248047","8.78759956359863","8.4640998840332","8.36180019378662","","","9.44629955291748","10.5082998275757","10.6905002593994",
"Armenia","ARM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.40000009536743","7.40000009536743","8.5","10.3999996185303","15.1999998092651","17.3999996185303","13.3000001907349","15","","","","","","","","9.76580047607422","25.8563995361328","19.6658992767334","21.2336006164551","19.6128997802734","18.1506004333496","18.0706005096436","19.3824005126953","19.2273998260498","17.4869995117188","17.4761009216309","20.4274997711182","",
"American Samoa","ASM","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.78999996185303","","","","","","","","","","6.01000022888184","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","28.2600002288818","26.9899997711182","27.3999996185303","26.4599990844727","","","","","","","","","","","","","","","","","","","","","","","","","8.77999973297119","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","8.19029998779297","7.86320018768311","7.43020009994507","8.52540016174316","10.3694000244141","9.47690010070801","8.7628002166748","8.70670032501221","8.62469959259033","7.89919996261597","6.84130001068115","7.19220018386841","9.14949989318848","9.92759990692139","9.99740028381348","9.3612003326416","8.105299949646","8.23589992523193","8.07100009918213","7.32810020446777","6.65840005874634","6.06169986724854","6.44530010223389","6.16239976882935","5.97849988937378","5.53539991378784","5.21999979019165","4.92170000076294","4.78410005569458","4.57040023803711","5.40100002288818","5.37550020217896","5.30399990081787","5.32509994506836","5.60930013656616","6.17140007019043","6.07240009307861","5.77839994430542","5.66709995269775","5.31820011138916","5.10970020294189",
