"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.92000007629395","","","5.3600001335144","","","6.71999979019165","","","6.5","6.5","","","","","","4.96999979019165","","","10.7700004577637","8.60000038146973","","","","","","","","",
"Afghanistan","AFG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.65260004997253","","","","1.36029994487762","","","","","10.3696002960205","","",
"Angola","AGO","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","11.8000001907349","11.5","14.8000001907349","","","","","","","","","","","","","","","","","","21.3064002990723","","","","","4.67199993133545","7.90999984741211","7.00239992141724","","","","","","","","",
"Albania","ALB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.39999961853027","7.80000019073486","24.7999992370605","20.8999996185303","17.2999992370605","11.6000003814697","11.3999996185303","13.8000001907349","15.8000001907349","16.3999996185303","14.8999996185303","14.1999998092651","13.6000003814697","12.8999996185303","12.3999996185303","12.1000003814697","11.8000001907349","15.6780996322632","12.5207004547119","12.1358003616333","12.7320003509521","13.2650995254517","14.8100996017456","17.7558002471924","19.9053993225098","17.2469005584717","16.1411991119385","14.4420003890991","12.6300001144409","11.5847997665405",
"Andorra","AND","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.26084905747099","7.6573254247098","6.95896528735474","6.66549889188626","","8.27054884472219","","8.32517512278551","","7.07739179879486","","","",
"United Arab Emirates","ARE","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","1.87000000476837","","","","","","","","","","1.04999995231628","","","","","","","","","","1.72000002861023","","","","","2.1800000667572","","","","","2.5","","","","","","","","","","","1.07085120677948","1.41149997711182","1.33319997787476","",
"Argentina","ARG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","4.38000011444092","3.85999989509583","3.38000011444092","","","4.5","5.30000019073486","7","7.13000011444092","5.32999992370605","6.1399998664856","8.5","10.3400001525879","16.5","15.7299995422363","12.9099998474121","11.710000038147","13.2799997329712","14.0500001907349","17.4099998474121","20.1299991607666","13.7299995422363","11.8341999053955","9.99769973754883","8.3621997833252","","6.47469997406006","7.75699996948242","6.64739990234375","6.24030017852783","6.06440019607544","6.10489988327026","6.46859979629517","","","7.51300001144409","8.20289993286133","9.17780017852783",
"Armenia","ARM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29999995231628","3.5","4.90000009536743","3.79999995231628","4.69999980926514","5.5","5.59999990463257","7.59999990463257","","","","","","","","9.85019969940186","20.4722995758057","17.3388004302979","17.0431995391846","17.3316993713379","16.4867992401123","14.3680000305176","15.6795997619629","17.3635997772217","17.7346000671387","17.9111995697021","17.8470001220703","",
"American Samoa","ASM","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.34000015258789","","","","","","","","","","4.88000011444092","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","15.539999961853","14.7600002288818","14.4300003051758","16.9799995422363","","","","","","","","","","","","","","","","","","","","","","","","","8.03999996185303","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","5.16319990158081","5.06920003890991","4.80950021743774","6.35209989547729","9.71630001068115","8.6870002746582","7.94089984893799","7.67070007324219","7.76039981842041","6.76730012893677","5.70909976959229","6.73640012741089","9.8878002166748","11.3079996109009","11.5096998214722","9.98250007629395","8.74219989776611","8.71049976348877","8.58360004425049","7.94129991531372","7.03709983825684","6.45599985122681","6.978600025177","6.53140020370483","5.88840007781982","5.28119993209839","4.87909984588623","4.66760015487671","4.04040002822876","3.95499992370605","5.69399976730347","5.07460021972656","4.89400005340576","5.13789987564087","5.70660018920898","5.99599981307983","6.03849983215332","5.65019989013672","5.52440023422241","5.28060007095337","5.20989990234375",
