,country,year,age,suicides/100k pop,depression
97,Antigua and Barbuda,1995,15-24 years,0.0,2.581790212895
98,Antigua and Barbuda,1995,25-34 years,0.0,2.83754828215
99,Antigua and Barbuda,1995,35+ years,0.0,3.77580887629
100,Antigua and Barbuda,1998,14- years,0.0,1.24086585664
101,Antigua and Barbuda,1998,15-24 years,0.0,2.590520731305
102,Antigua and Barbuda,1998,25-34 years,0.0,2.8560394842
103,Antigua and Barbuda,1998,35+ years,0.0,3.7847392284466665
104,Antigua and Barbuda,1999,14- years,0.0,1.24327144654
105,Antigua and Barbuda,1999,15-24 years,0.0,2.5892739779800005
106,Antigua and Barbuda,1999,25-34 years,0.0,2.857508148085
107,Antigua and Barbuda,1999,35+ years,0.0,3.7854883668999997
108,Antigua and Barbuda,2000,14- years,0.0,1.2417522841600002
109,Antigua and Barbuda,2000,15-24 years,0.0,2.5934150276350003
110,Antigua and Barbuda,2000,25-34 years,0.0,2.86457920981
111,Antigua and Barbuda,2000,35+ years,6.661666666666666,3.7888902827733326
112,Antigua and Barbuda,2001,14- years,0.0,1.2448361295100001
113,Antigua and Barbuda,2001,15-24 years,0.0,2.59593011581
114,Antigua and Barbuda,2001,25-34 years,0.0,2.8652286568000003
115,Antigua and Barbuda,2001,35+ years,3.2416666666666667,3.7916285042499998
116,Antigua and Barbuda,2002,14- years,0.0,1.24402886576
117,Antigua and Barbuda,2002,15-24 years,0.0,2.599794222885
118,Antigua and Barbuda,2002,25-34 years,0.0,2.86911165313
119,Antigua and Barbuda,2002,35+ years,0.0,3.795105068443334
120,Antigua and Barbuda,2003,14- years,0.0,1.2457303297
121,Antigua and Barbuda,2003,15-24 years,0.0,2.601410988815
122,Antigua and Barbuda,2003,25-34 years,0.0,2.868598527865
123,Antigua and Barbuda,2003,35+ years,4.636666666666667,3.796887069243333
124,Antigua and Barbuda,2004,14- years,0.0,1.24428530266
125,Antigua and Barbuda,2004,15-24 years,0.0,2.6017800234650004
126,Antigua and Barbuda,2004,25-34 years,0.0,2.86691319533
127,Antigua and Barbuda,2004,35+ years,6.010000000000001,3.798004955126667
128,Antigua and Barbuda,2005,14- years,0.0,1.24511069957
129,Antigua and Barbuda,2005,15-24 years,0.0,2.6006322452850004
130,Antigua and Barbuda,2005,25-34 years,0.0,2.8628336661400002
131,Antigua and Barbuda,2005,35+ years,0.0,3.798418909566667
132,Antigua and Barbuda,2006,14- years,0.0,1.2415019889
133,Antigua and Barbuda,2006,15-24 years,0.0,2.5935461858649997
134,Antigua and Barbuda,2006,25-34 years,0.0,2.858619298775
135,Antigua and Barbuda,2006,35+ years,0.0,3.7911120349900003
136,Antigua and Barbuda,2007,14- years,0.0,1.2344169926100002
137,Antigua and Barbuda,2007,15-24 years,0.0,2.57978559014
138,Antigua and Barbuda,2007,25-34 years,0.0,2.8506366682750004
139,Antigua and Barbuda,2007,35+ years,1.33,3.7784385083900003
140,Antigua and Barbuda,2008,14- years,0.0,1.22766947349
141,Antigua and Barbuda,2008,15-24 years,0.0,2.5636699525
142,Antigua and Barbuda,2008,25-34 years,0.0,2.840880267815
143,Antigua and Barbuda,2008,35+ years,0.0,3.765111553933334
144,Antigua and Barbuda,2009,14- years,0.0,1.22340985638
145,Antigua and Barbuda,2009,15-24 years,0.0,2.549495842865
146,Antigua and Barbuda,2009,25-34 years,0.0,2.83114593091
147,Antigua and Barbuda,2009,35+ years,0.0,3.752434315286667
148,Antigua and Barbuda,2012,14- years,0.0,1.22235096654
149,Antigua and Barbuda,2012,15-24 years,0.0,2.5391012704800002
150,Antigua and Barbuda,2012,25-34 years,0.0,2.824280094745
151,Antigua and Barbuda,2012,35+ years,0.0,3.744574119036667
152,Antigua and Barbuda,2013,14- years,0.0,1.22152404065
153,Antigua and Barbuda,2013,15-24 years,0.0,2.539986680805
154,Antigua and Barbuda,2013,25-34 years,0.0,2.8233859056800004
155,Antigua and Barbuda,2013,35+ years,0.0,3.7457627233533337
156,Antigua and Barbuda,2014,14- years,0.0,1.22417843186
157,Antigua and Barbuda,2014,15-24 years,0.0,2.54035566832
158,Antigua and Barbuda,2014,25-34 years,0.0,2.8271975729950003
159,Antigua and Barbuda,2014,35+ years,0.0,3.74975945734
160,Antigua and Barbuda,2015,14- years,0.0,1.22783439097
161,Antigua and Barbuda,2015,15-24 years,0.0,2.5482303536349997
162,Antigua and Barbuda,2015,25-34 years,0.0,2.82986006926
163,Antigua and Barbuda,2015,35+ years,2.603333333333333,3.756569300256667
164,Argentina,1990,14- years,0.555,1.74997344921
165,Argentina,1990,15-24 years,5.07,4.401017875275
166,Argentina,1990,25-34 years,5.65,4.439727160984999
167,Argentina,1990,35+ years,18.724999999999998,4.594160405173334
168,Argentina,1991,14- years,0.55,1.76386682257
169,Argentina,1991,15-24 years,4.405,4.4284424249550005
170,Argentina,1991,25-34 years,6.365,4.4451613573049995
171,Argentina,1991,35+ years,16.099999999999998,4.600132844256667
172,Argentina,1992,14- years,0.525,1.7761852649599998
173,Argentina,1992,15-24 years,5.8149999999999995,4.459036262669999
174,Argentina,1992,25-34 years,6.615,4.452901584705
175,Argentina,1992,35+ years,16.825,4.606466186503334
176,Argentina,1993,14- years,0.615,1.7876418374699998
177,Argentina,1993,15-24 years,5.275,4.49256416135
178,Argentina,1993,25-34 years,6.605,4.45526591722
179,Argentina,1993,35+ years,18.296666666666663,4.610487465866666
180,Argentina,1994,14- years,0.5700000000000001,1.8002914397499998
181,Argentina,1994,15-24 years,5.779999999999999,4.530029727695
182,Argentina,1994,25-34 years,6.289999999999999,4.46200321813
183,Argentina,1994,35+ years,16.128333333333334,4.614901638066666
184,Argentina,1995,14- years,0.515,1.81119747952
185,Argentina,1995,15-24 years,6.105,4.55419956883
186,Argentina,1995,25-34 years,5.825,4.4729569992350005
187,Argentina,1995,35+ years,15.846666666666664,4.6192737304966665
188,Argentina,1996,14- years,0.35,1.82202444324
189,Argentina,1996,15-24 years,6.074999999999999,4.589750498825
190,Argentina,1996,25-34 years,5.695,4.486632423185
191,Argentina,1996,35+ years,15.631666666666666,4.622631522550001
192,Argentina,1997,14- years,0.44000000000000006,1.8303830811900001
193,Argentina,1997,15-24 years,5.8500000000000005,4.624266756275
