,country,year,suicides/100k pop,depression,Rural area
1043,Latvia,1998,27.835833333333333,3.7722543028662496,31.549000000000007
1044,Latvia,1999,25.127916666666664,3.734424727925833,31.78
1045,Latvia,2000,27.183333333333334,3.6999294370112503,31.933000000000007
1046,Latvia,2001,23.637083333333337,3.660444287635417,32.05
1047,Latvia,2002,22.883333333333333,3.6107229238116663,32.15
1048,Latvia,2003,22.38541666666667,3.557336026930833,32.2
1049,Latvia,2004,19.935000000000002,3.509223066613333,32.1
1050,Latvia,2005,20.406666666666666,3.4725485539479166,32.0
1051,Latvia,2006,18.164166666666667,3.4447601175516667,32.033
1052,Latvia,2007,17.964583333333334,3.41853122942375,32.1
1053,Latvia,2008,20.460416666666667,3.393120676147917,32.166
1054,Latvia,2009,19.184166666666666,3.374799153089583,32.18600000000001
1055,Latvia,2010,16.464166666666667,3.3662060929245836,32.159000000000006
1056,Latvia,2011,18.456249999999997,3.359469019350416,32.131
1057,Latvia,2012,17.058333333333334,3.357060918472083,32.102999999999994
1058,Latvia,2013,14.935416666666669,3.3543003037208328,32.075
1059,Latvia,2014,16.34375,3.35496649933125,32.048
1060,Latvia,2015,15.607083333333334,3.3556532442683333,32.02
1061,Lithuania,1995,39.310833333333335,4.182628442295417,32.715
1062,Lithuania,1996,37.10124999999999,4.203167847428333,32.775
1063,Lithuania,1997,37.13333333333333,4.223493144022917,32.834
1064,Lithuania,1998,35.70833333333333,4.24695487166375,32.894000000000005
1065,Lithuania,1999,36.74041666666667,4.26041280021,32.95399999999999
1066,Lithuania,2000,37.583333333333336,4.264357796145,33.013999999999996
1067,Lithuania,2001,35.678333333333335,4.254326166009584,33.081
1068,Lithuania,2002,37.039166666666674,4.235808436562916,33.172
1069,Lithuania,2003,34.763333333333335,4.214097216248333,33.263000000000005
1070,Lithuania,2004,33.57958333333333,4.18726958976625,33.354
1071,Lithuania,2005,31.277083333333337,4.165851767685833,33.365
1072,Lithuania,2006,25.05625,4.146205895595417,33.294
1073,Lithuania,2007,27.578750000000007,4.126206695147917,33.223
1074,Lithuania,2008,29.35708333333333,4.103426619875834,33.152
1075,Lithuania,2009,28.182916666666667,4.083333130051667,33.158
1076,Lithuania,2010,25.60333333333333,4.0664269758975005,33.242999999999995
1077,Lithuania,2011,26.52708333333333,4.052125628978334,33.259
1078,Lithuania,2012,24.275,4.0372774478825,33.135999999999996
1079,Lithuania,2013,29.851666666666667,4.021626546174583,33.013999999999996
1080,Lithuania,2014,25.91375,4.011166528961667,32.891999999999996
1081,Lithuania,2015,24.931666666666665,3.99786139762,32.77
1082,Lithuania,2016,29.11222222222222,4.912956912826111,32.634
1083,Luxembourg,1990,14.428333333333331,4.106693896695833,19.052999999999997
1084,Luxembourg,1991,15.465416666666666,4.1081557541275,18.87
1085,Luxembourg,1992,13.087916666666668,4.10459179299375,18.471999999999994
1086,Luxembourg,1993,13.941666666666666,4.101692079168333,18.143
1087,Luxembourg,1994,16.899166666666666,4.095948342231666,17.518
1088,Luxembourg,1995,13.427499999999998,4.085893107953334,17.107
1089,Luxembourg,1996,12.939583333333335,4.070771220304167,17.175
1090,Luxembourg,1997,18.6575,4.038315673620417,17.221000000000004
1091,Luxembourg,1998,12.582083333333333,3.9995836542341667,17.107
1092,Luxembourg,1999,13.487083333333334,3.9605468534916657,16.552000000000007
1093,Luxembourg,2000,12.560000000000002,3.9248863860275005,15.784000000000006
1094,Luxembourg,2001,14.9525,3.8953708075174998,15.156999999999996
1095,Luxembourg,2002,15.239166666666666,3.859614878954166,14.700999999999993
1096,Luxembourg,2003,10.849583333333335,3.823454328965,14.257000000000005
1097,Luxembourg,2004,11.376666666666665,3.792240664893333,13.822999999999993
1098,Luxembourg,2005,9.419583333333332,3.767885433568334,13.402000000000001
1099,Luxembourg,2006,9.822916666666668,3.745720629144167,12.991
1100,Luxembourg,2007,11.54375,3.724521549369583,12.590999999999994
1101,Luxembourg,2008,5.878749999999999,3.7031553265037505,12.2
1102,Luxembourg,2009,6.5337499999999995,3.6847295827362503,11.822000000000003
1103,Luxembourg,2010,8.106666666666667,3.6759902368733335,11.453000000000003
1104,Luxembourg,2011,8.144583333333333,3.6699686102954168,11.093999999999994
1105,Luxembourg,2012,8.439166666666667,3.6647870602108337,10.751000000000005
1106,Luxembourg,2013,4.725833333333332,3.658933105345417,10.426000000000002
1107,Luxembourg,2014,9.238333333333333,3.6577034648304165,10.116
1108,Luxembourg,2015,7.860833333333334,3.654232171445,9.820999999999998
1109,Maldives,2000,0.0,3.363003413675833,72.294
1110,Maldives,2001,5.272916666666666,3.3454046025574997,71.14099999999999
1111,Maldives,2002,0.8841666666666668,3.324307587627083,69.958
1112,Maldives,2003,0.6466666666666666,3.3017955588945833,68.748
1113,Maldives,2004,0.15583333333333335,3.2778192092716667,67.51
1114,Maldives,2005,0.34375,3.25213074804125,66.25
1115,Maldives,2007,1.7950000000000002,3.19539649709625,64.8
1116,Maldives,2008,0.0,3.1656886186183333,64.39
1117,Maldives,2010,0.24875,3.1105319063741668,63.566
1118,Maldives,2011,0.67375,3.0886216698558333,63.151
1119,Malta,1990,1.9320833333333332,3.5927309770983333,9.619
1120,Malta,1991,3.111666666666667,3.5780338359979167,9.503
1121,Malta,1992,5.458333333333334,3.5648788137358336,9.388999999999996
1122,Malta,1993,3.8325000000000005,3.5533720821287496,9.277000000000001
1123,Malta,1994,4.520416666666667,3.5426904507079167,9.165000000000006
1124,Malta,1995,3.7858333333333336,3.5365412854687497,9.054000000000002
1125,Malta,1996,4.1745833333333335,3.533997329051666,8.819000000000003
1126,Malta,1997,5.506666666666667,3.530879649966667,8.507999999999996
1127,Malta,1998,1.6179166666666667,3.529769896205833,8.206999999999994
1128,Malta,1999,6.443333333333333,3.527181381256667,7.915000000000006
1129,Malta,2000,4.877083333333333,3.5267606882954166,7.632000000000005
1130,Malta,2001,6.21875,3.52486996185875,7.358999999999995
1131,Malta,2002,3.855833333333334,3.52270785942125,7.095
1132,Malta,2003,5.479166666666666,3.520287714760417,6.84
1133,Malta,2004,4.715,3.5173278968466666,6.5930000000000035
1134,Malta,2005,3.1125,3.515377298977084,6.355
1135,Malta,2006,5.317916666666667,3.5047610288404165,6.215999999999994
1136,Malta,2007,5.019166666666667,3.4871628307729168,6.143000000000001
1137,Malta,2008,2.1641666666666666,3.4705112486108334,6.070999999999998
1138,Malta,2009,8.565833333333334,3.4563510896741665,5.998999999999995
1139,Malta,2010,5.0720833333333335,3.45234153495125,5.927999999999997
1140,Malta,2011,3.9149999999999996,3.451956859110833,5.858999999999995
1141,Malta,2012,3.577916666666667,3.453889006914583,5.7890000000000015
1142,Malta,2013,4.1674999999999995,3.4593452215070837,5.721000000000004
1143,Malta,2014,6.373333333333333,3.4671546944875002,5.653000000000006
1144,Malta,2015,6.468749999999999,3.4761483272350002,5.5859999999999985
1145,Mauritius,1990,14.4025,3.73147789399375,56.1
1146,Mauritius,1991,15.10125,3.739111977835,56.223
1147,Mauritius,1992,14.25375,3.744242261512917,56.347
1148,Mauritius,1993,13.977083333333333,3.745021872620833,56.47
1149,Mauritius,1994,13.422083333333335,3.7463965179033334,56.593
1150,Mauritius,1995,13.262916666666666,3.7469186117649995,56.716
1151,Mauritius,1996,13.735,3.743945567537083,56.839
1152,Mauritius,1997,10.920416666666666,3.735326875835834,56.962
1153,Mauritius,1998,13.82125,3.72179205638375,57.084
1154,Mauritius,1999,15.348333333333333,3.708247882430417,57.207
1155,Mauritius,2000,12.068333333333333,3.691377329434167,57.33
1156,Mauritius,2001,9.293333333333333,3.6727333906462496,57.441
1157,Mauritius,2002,10.855,3.6546124893150003,57.553
1158,Mauritius,2003,7.383333333333335,3.636799397021667,57.665
1159,Mauritius,2004,7.9854166666666675,3.6183485215791666,57.777
1160,Mauritius,2005,7.5095833333333335,3.5986572560895835,57.888
1161,Mauritius,2006,11.148333333333333,3.5834360757287502,58.0
1162,Mauritius,2007,11.339583333333334,3.5630552475083332,58.111
1163,Mauritius,2008,6.38625,3.5462682688700005,58.223
1164,Mauritius,2009,8.80125,3.5306043402016662,58.334
1165,Mauritius,2010,8.280416666666667,3.52131893459,58.445
